longitude,latitude,elevation,slope,dist_settlement
77.86147725105953,8.556453081238441,48,0.10531735,5000.0
77.9063930152655,8.556453081238441,35,0.16139978,5656.85424949238
77.95130877947147,8.556453081238441,24,0.15258396,6403.1242374328485
76.82841467432208,8.601368845444417,15,0.314609,0.0
76.87333043852804,8.601368845444417,28,0.4787666,0.0
76.91824620273403,8.601368845444417,91,0.5275431,1000.0
76.96316196694,8.601368845444417,97,0.43070474,2000.0
77.00807773114597,8.601368845444417,76,0.09973766,2000.0
77.05299349535196,8.601368845444417,88,0.5023118,2236.06797749979
77.09790925955792,8.601368845444417,103,0.35418433,2828.42712474619
77.1428250237639,8.601368845444417,133,0.66321254,3605.551275463989
77.18774078796989,8.601368845444417,334,3.6520555,4472.13595499958
77.23265655217585,8.601368845444417,1003,10.379423,5385.1648071345035
77.27757231638184,8.601368845444417,1309,4.148272,6324.555320336759
77.32248808058782,8.601368845444417,789,7.6513925,5385.1648071345035
77.36740384479378,8.601368845444417,516,7.665763,4472.13595499958
77.41231960899977,8.601368845444417,501,8.299819,3605.551275463989
77.45723537320573,8.601368845444417,524,5.3384013,2828.42712474619
77.50215113741172,8.601368845444417,407,3.6676958,2236.06797749979
77.5470669016177,8.601368845444417,119,2.65891,2000.0
77.59198266582366,8.601368845444417,98,0.3923978,2236.06797749979
77.63689843002965,8.601368845444417,72,0.2127175,2828.42712474619
77.68181419423561,8.601368845444417,68,0.15332419,3000.0
77.7267299584416,8.601368845444417,63,0.17900695,3000.0
77.77164572264758,8.601368845444417,52,0.18042846,3162.2776601683795
77.81656148685354,8.601368845444417,34,0.17931676,3605.551275463989
77.86147725105953,8.601368845444417,31,0.17478397,4242.640687119285
77.9063930152655,8.601368845444417,19,0.10320964,5000.0
77.95130877947147,8.601368845444417,14,0.056806672,5830.951894845301
76.7834989101161,8.646284609650394,16,0.22267394,0.0
76.82841467432208,8.646284609650394,45,0.13681625,1000.0
76.87333043852804,8.646284609650394,50,0.28749073,1000.0
76.91824620273403,8.646284609650394,56,0.42298192,1414.213562373095
76.96316196694,8.646284609650394,153,0.24100116,2236.06797749979
77.00807773114597,8.646284609650394,94,0.38161558,3000.0
77.05299349535196,8.646284609650394,148,0.32263735,3162.2776601683795
77.09790925955792,8.646284609650394,157,0.8384529,3605.551275463989
77.1428250237639,8.646284609650394,230,0.64097,4242.640687119285
77.18774078796989,8.646284609650394,599,11.781876,5000.0
77.23265655217585,8.646284609650394,1261,1.758422,5830.951894845301
77.27757231638184,8.646284609650394,950,8.432535,5656.85424949238
77.32248808058782,8.646284609650394,305,1.6977634,5000.0
77.36740384479378,8.646284609650394,341,2.5772479,4123.105625617661
77.41231960899977,8.646284609650394,124,2.3567202,3162.2776601683795
77.45723537320573,8.646284609650394,112,1.9626344,2236.06797749979
